"ppm","intensity"
14.9734706519014,-175360
14.9733143626352,-256000
14.973158073369,-259840
14.9730017841029,-213504
14.9728454948367,-335360
14.9726892055705,-428288
14.9725329163044,-12800
14.9723766270382,974080
14.972220337772,2028800
14.9720640485059,2672896
14.9719077592397,2920448
14.9717514699735,3111168
14.9715951807073,3479296
14.9714388914412,3913728
14.971282602175,4020480
14.9711263129088,3500288
14.9709700236427,2607104
14.9708137343765,2074112
14.9706574451103,2355456
14.9705011558442,3073536
14.970344866578,3485952
14.9701885773118,3384832
14.9700322880456,3198208
14.9698759987795,3299328
14.9697197095133,3632384
14.9695634202471,4062464
14.969407130981,4673280
14.9692508417148,5536512
14.9690945524486,6458112
14.9689382631825,7167488
14.9687819739163,7568128
14.9686256846501,7672064
14.968469395384,7488000
14.9683131061178,7128576
14.9681568168516,6820864
14.9680005275854,6594304
14.9678442383193,6109184
14.9676879490531,5023744
14.9675316597869,3455744
14.9673753705208,1912576
14.9672190812546,872704
14.9670627919884,618752
14.9669065027223,1295360
14.9667502134561,2770944
14.9665939241899,4456192
14.9664376349237,5659904
14.9662813456576,6266624
14.9661250563914,6765312
14.9659687671252,7441408
14.9658124778591,7858432
14.9656561885929,7422976
14.9654998993267,6206720
14.9653436100606,4817408
14.9651873207944,3621120
14.9650310315282,2545408
14.964874742262,1598720
14.9647184529959,1027584
14.9645621637297,798208
14.9644058744635,408064
14.9642495851974,-470784
14.9640932959312,-1501440
14.963937006665,-2162432
14.9637807173989,-2400768
14.9636244281327,-2396928
14.9634681388665,-1947904
14.9633118496003,-636416
14.9631555603342,1434112
14.962999271068,3568896
14.9628429818018,5211904
14.9626866925357,6334208
14.9625304032695,6991360
14.9623741140033,6919680
14.9622178247372,5851136
14.962061535471,4000768
14.9619052462048,2008320
14.9617489569386,502528
14.9615926676725,-154368
14.9614363784063,146688
14.9612800891401,1325568
14.961123799874,3130624
14.9609675106078,5134592
14.9608112213416,6735104
14.9606549320755,7363328
14.9604986428093,6939904
14.9603423535431,6060544
14.9601860642769,5478656
14.9600297750108,5388800
14.9598734857446,5418752
14.9597171964784,5255680
14.9595609072123,4955392
14.9594046179461,4636160
14.9592483286799,4228608
14.9590920394138,3644416
14.9589357501476,2944768
14.9587794608814,2259200
14.9586231716152,1749248
14.9584668823491,1584640
14.9583105930829,1622528
14.9581543038167,1229568
14.9579980145506,-33536
14.9578417252844,-1545472
14.9576854360182,-2148608
14.9575291467521,-1760512
14.9573728574859,-1691904
14.9572165682197,-2840576
14.9570602789535,-4263424
14.9569039896874,-4350464
14.9567477004212,-2992640
14.956591411155,-1645568
14.9564351218889,-1337856
14.9562788326227,-1521920
14.9561225433565,-1091328
14.9559662540904,219392
14.9558099648242,1830912
14.955653675558,3172608
14.9554973862918,4076544
14.9553410970257,4573696
14.9551848077595,4734208
14.9550285184933,4676608
14.9548722292272,4547840
14.954715939961,4508672
14.9545596506948,4780032
14.9544033614287,5551104
14.9542470721625,6760960
14.9540907828963,8067072
14.9539344936302,9077248
14.953778204364,9509888
14.9536219150978,9166848
14.9534656258316,7985920
14.9533093365655,6215680
14.9531530472993,4358144
14.9529967580331,2804736
14.952840468767,1587456
14.9526841795008,550912
14.9525278902346,-329984
14.9523716009685,-866304
14.9522153117023,-857856
14.9520590224361,-358400
14.9519027331699,251392
14.9517464439038,531456
14.9515901546376,389376
14.9514338653714,168960
14.9512775761053,262912
14.9511212868391,750336
14.9509649975729,1451776
14.9508087083068,2134016
14.9506524190406,2516480
14.9504961297744,2361600
14.9503398405082,1878272
14.9501835512421,1824768
14.9500272619759,2777088
14.9498709727097,4348672
14.9497146834436,5574400
14.9495583941774,6057216
14.9494021049112,6254336
14.9492458156451,6536704
14.9490895263789,6518016
14.9489332371127,5660416
14.9487769478465,4163072
14.9486206585804,2790400
14.9484643693142,1963520
14.948308080048,1427712
14.9481517907819,815360
14.9479955015157,209920
14.9478392122495,21248
14.9476829229834,462592
14.9475266337172,1281280
14.947370344451,1991168
14.9472140551848,2310912
14.9470577659187,2340864
14.9469014766525,2329600
14.9467451873863,2415872
14.9465888981202,2681856
14.946432608854,3252224
14.9462763195878,4031744
14.9461200303217,4435712
14.9459637410555,3819264
14.9458074517893,2310912
14.9456511625231,867328
14.945494873257,260096
14.9453385839908,293376
14.9451822947246,288768
14.9450260054585,63744
14.9448697161923,15616
14.9447134269261,367104
14.94455713766,815616
14.9444008483938,1020928
14.9442445591276,1073920
14.9440882698614,1288960
14.9439319805953,1747968
14.9437756913291,2256384
14.9436194020629,2638592
14.9434631127968,2887936
14.9433068235306,3058432
14.9431505342644,3163392
14.9429942449983,3202560
14.9428379557321,3218944
14.9426816664659,3298816
14.9425253771997,3532032
14.9423690879336,3954176
14.9422127986674,4471040
14.9420565094012,4812800
14.9419002201351,4607488
14.9417439308689,3591936
14.9415876416027,1846528
14.9414313523366,-149248
14.9412750630704,-1752576
14.9411187738042,-2540288
14.940962484538,-2517760
14.9408061952719,-1957888
14.9406499060057,-1077248
14.9404936167395,64256
14.9403373274734,1359616
14.9401810382072,2501632
14.940024748941,3188224
14.9398684596749,3448832
14.9397121704087,3591680
14.9395558811425,3788544
14.9393995918764,3890176
14.9392433026102,3744000
14.939087013344,3448576
14.9389307240778,3078400
14.9387744348117,2390016
14.9386181455455,1219072
